Source	NCIt Subset Code	FDA Subset Name	NCIt Concept Code	FDA Source Code	FDA Source PT	FDA Source Synonym(s)	FDA Source Definition	NCIt Definition	Parent Concept's NCIt Concept Code	Parent Concept's FDA Source Code	Parent Concept's FDA Source PT
FDA	C62596	FDA Center For Devices and Radiological Health Terminology	C19238		DIAGNOSTIC, THERAPEUTIC, OR RESEARCH EQUIPMENT			Any object needed to perform a diagnostic, therapeutic or research activity.	C62596		FDA CDRH TERMINOLOGY
FDA	C54450	Patient Problem Codes FDA CDRH	C50501	2627	COMPLETE HEART BLOCK			Complete failure of atrial electrical impulse conduction through the AV node to the ventricles.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C34331	2543	ABDOMINAL CRAMPS	CRAMPS, ABDOMINAL		An involuntary muscular contraction involving a muscle of the abdomen or of a hollow organ within the abdomen.	C34827	2193	CRAMP(S)
FDA	C54450	Patient Problem Codes FDA CDRH	C26682	1685	PAIN, ABDOMINAL	ABDOMINAL PAIN		Painful sensation in the abdominal region.	C3303	1994	PAIN
FDA	C54450	Patient Problem Codes FDA CDRH	C50447	1034	BLOOD GAS MEASUREMENTS, ABNORMAL	ABNORMAL BLOOD GAS MEASUREMENTS|MEASUREMENTS, ABNORMAL BLOOD GAS			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50431	2370	MAMMOGRAM, ABNORMAL	ABNORMAL MAMMOGRAM			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C61389	3166	PATCH TEST, ABNORMAL RESULTS OF				C36292	2695	TEST RESULT
FDA	C54450	Patient Problem Codes FDA CDRH	C50448	2078	VENTRICLE, ABNORMALITY OF				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C35221	1688	ABORTION			Any termination of pregnancy happening before the fetus is able to sustain independent life.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50449	1689	ABRASION		Abraded wound; excoriation or circumscribed removal of the superficial layers of the skin or mucous membrane.		C3671	2348	INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C26686	1690	ABSCESS				C2890	1735	INFECTION, BACTERIAL
FDA	C54450	Patient Problem Codes FDA CDRH	C50450	1945	KERATITIS, ACANTHAMOEBA	ACANTHAMOEBA KERATITIS	Keratitis due to infection by acanthamoeba; it is usually associated with soft contact lens wear, particularly overnight wear.	Keratitis due to infection by acanthamoeba; it is usually associated with soft contact lens wear, particularly overnight wear.	C26805	1944	KERATITIS
FDA	C54450	Patient Problem Codes FDA CDRH	C50451	1692	ACHALASIA		Failure of the smooth muscle fibers of the gastrointestinal tract to relax at any one point of junction of one part with another.	Failure of the smooth muscle fibers of the gastrointestinal tract to relax at any one point of junction of one part with another.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50452	1693	SHOCK, ACOUSTIC	ACOUSTIC SHOCK			C3671	2348	INJURY
FDA	C54450	Patient Problem Codes FDA CDRH	C50453	1694	ACOUSTIC TRAUMA			Injury to the hearing mechanisms within the inner ear, caused by excessively loud noise.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2851	1684	AIDS, ACQUIRED IMMUNODEFICIENCY SYNDROME	ACQUIRED IMMUNODEFICIENCY SYNDROME, AIDS		A syndrome resulting from the acquired deficiency of cellular immunity caused by the human immunodeficiency virus (HIV). It is characterized by the reduction of the Helper T-lymphocytes in the peripheral blood and the lymph nodes. Symptoms include generalized lymphadenopathy, fever, weight loss, and chronic diarrhea. Patients with AIDS are especially susceptible to opportunistic infections (usually pneumocystis carinii pneumonia, cytomegalovirus (CMV) infections, tuberculosis, candida infections, and cryptococcosis), and the development of malignant neoplasms (usually non-Hodgkin's lymphoma and Kaposi's sarcoma). The human immunodeficiency virus is transmitted through sexual contact, sharing of contaminated needles, or transfusion of contaminated blood.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50454	2269	TOXOPLASMOSIS, ACQUIRED	ACQUIRED TOXOPLASMOSIS	Acquired as an adult.		C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C3353	1696	ADULT RESPIRATORY DISTRESS SYNDROME	ADULT RESPIRATORY DISTRESS SYNDROME, ARDS		Progressive and life-threatening pulmonary distress in the absence of an underlying pulmonary condition, usually following major trauma or surgery. Cases of neonatal respiratory distress syndrome are not included in this definition.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50455	1697	AIR EMBOLISM		The presence of bubbles of gas in the vascular system; occurrence is related to the entry of air into the venous circulation following trauma or surgery.	The presence of bubbles of gas in the vascular system; occurrence is related to the entry of air into the venous circulation following trauma or surgery.	C26759	1829	EMBOLISM
FDA	C54450	Patient Problem Codes FDA CDRH	C50456	1699	AIRWAY OBSTRUCTION				C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50575	1877	HAIR LOSS	LOSS OF HAIR		Hair loss usually from the scalp. It may result in bald spots or spread to the entire scalp or the entire epidermis. It may be androgenetic or caused by chemotherapeutic agents, compulsive hair pulling, autoimmune disorders or congenital conditions.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50457	2551	COGNITIVE CHANGES	CHANGES, COGNITIVE	Pertaining to or characterized by cognition. That operation of the mind which we become aware of objects of thought or perception; it includes all aspects of perceiving, thinking, or remembering.		C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50458	2544	AMBULATION DIFFICULTIES	DIFFICULTIES, AMBULATION			C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C2867	1958	MEMORY LOSS	LOSS OF MEMORY		Systematic and extensive loss of memory caused by organic or psychological factors. The loss may be temporary or permanent, and may involve old or recent memories.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
FDA	C54450	Patient Problem Codes FDA CDRH	C50459	2217	AMNIONITIS		Inflammation of the amnion.	Inflammation of the amnion.	C54027	2688	PATIENT PROBLEM/MEDICAL PROBLEM
