Ectopic_Pregnancy	Ectopic Pregnancy (PEDS)	Abnormal_Pregnancy
Acquired_Bilateral_Cataracts	Acquired Bilateral Cataracts (PEDS)	Acquired_Cataract
Acquired_Unilateral_Cataract	Acquired Unilateral Cataract (NRNT)	Acquired_Cataract
Traumatic_Chylothorax	Traumatic Chylothorax (NRNT)	Acquired_Chylothorax
Drug_Induced_Methemoglobinemia	Drug-Induced Methemoglobinemia (NRNT)	Acquired_Methemoglobinemia
Methemoglobinemia	Toxic Methemoglobinemia  with Cyanosis (NRNT)	Acquired_Methemoglobinemia
Type_I_Acrocephalosyndactyly	Acrocephalosyndactyly Type I (NRNT)	Acrocephalosyndactyly
Type_V_Acrocephalosyndactyly	Acrocephalosyndactyly Type V (NRNT)	Acrocephalosyndactyly
Carpenter_Syndrome	Carpenter 's Syndrome (NRNT)	Acrocephalosyndactyly
Early_Adolescence	Early Adolescence (PEDS)	Adolescence
Late_Adolescence	Late Adolescence (PEDS)	Adolescence
Short_Segment_Hirschsprung_Disease	Short Segment Hirschsprung's Disease (NRNT)	Aganglionic_Megacolon
Total_Intestinal_Aganglionosis	Total Intestinal Aganglionosis (NRNT)	Aganglionic_Megacolon
Phenylalanine__Measurement	Phenylalanine Measurement (PEDS+NRNT)	Amino_Acid_Measurement
Phenylalanine_to_Tyrosine_Ratio_Measurement	Phenylalanine to Tyrosine Ratio Measurement (PEDS+NRNT)	Amino_Acid_Measurement
HMG-CoA_Lyase_Deficiency	Deficiency of Hydroxymethylglutaryl-Coa Lyase (NRNT)	Amino_Acid_Metabolism_Disorder
Glutaric_Acidemia_Type_1	Glutaric Aciduria, Type 1 (NRNT)	Amino_Acid_Metabolism_Disorder
Pyruvate_Kinase_Deficiency	Hemolytic Anemia due to Pyruvate Kinase Deficiency (NRNT)	Amino_Acid_Metabolism_Disorder
Homocystinuria	Homocystinuria (NRNT)	Amino_Acid_Metabolism_Disorder
Glycine_Encephalopathy	Non-Ketotic Hyperglycinemia (NRNT)	Amino_Acid_Metabolism_Disorder
